"id","ch"
711,"0000000100000"
713,"0000000100000"
714,"0000000100000"
715,"0000000100000"
717,"0000000100000"
718,"0000000100000"
719,"0000000100000"
720,"0000000100000"
721,"0000000100000"
722,"0000000100000"
723,"0000000100000"
724,"0000000100000"
728,"0000000100000"
730,"0000000100000"
731,"0000000100000"
732,"0000000100000"
734,"0000000100000"
735,"0000000100001"
736,"0000000110100"
737,"0000000100000"
738,"0000000100000"
741,"0000000100000"
742,"0000000100000"
743,"0000000100000"
744,"0000000100000"
745,"0000000100000"
746,"0000000100000"
747,"0000000100000"
748,"0000000100000"
749,"0000000101000"
750,"0000000100000"
751,"0000000100000"
752,"0000000100000"
754,"0000000100000"
758,"0000000100001"
759,"0000000100000"
761,"0000000100000"
765,"0000000100000"
767,"0000000101000"
768,"0000000100000"
772,"0000000100000"
773,"0000000100000"
774,"0000000100000"
778,"0000000100000"
781,"0000000100000"
783,"0000000100000"
784,"0000000100000"
785,"0000000100000"
786,"0000000100000"
787,"0000000100000"
789,"0000000100000"
790,"0000000100000"
791,"0000000100000"
792,"0000000100000"
793,"0000000100000"
795,"0000000100000"
796,"0000000100000"
797,"0000000100000"
798,"0000000100000"
800,"0000000100000"
801,"0000000100000"
803,"0000000100000"
806,"0000000100000"
807,"0000000100000"
809,"0000000100000"
810,"0000000100000"
811,"0000000100000"
812,"0000000100000"
813,"0000000100000"
814,"0000000100000"
815,"0000000100000"
818,"0000000100000"
819,"0000000100000"
820,"0000000110000"
821,"0000000100000"
825,"0000000100000"
826,"0000000100000"
827,"0000000100000"
829,"0000000100000"
830,"0000000100000"
831,"0000000100000"
832,"0000000100000"
833,"0000000100000"
835,"0000000110000"
836,"0000000100000"
837,"0000000100000"
839,"0000000100000"
840,"0000000100000"
842,"0000000100000"
843,"0000000100101"
845,"0000000100000"
846,"0000000110000"
847,"0000000100000"
848,"0000000100000"
849,"0000000100000"
851,"0000000100000"
852,"0000000100000"
855,"0000000100000"
856,"0000000110000"
857,"0000000100000"
858,"0000000100000"
859,"0000000100000"
860,"0000000100000"
861,"0000000100000"
862,"0000000100000"
863,"0000000101100"
864,"0000000100000"
865,"0000000100000"
866,"0000000100000"
867,"0000000100000"
868,"0000000100000"
869,"0000000100000"
870,"0000000100000"
872,"0000000100000"
874,"0000000100000"
876,"0000000100000"
877,"0000000100100"
879,"0000000100000"
880,"0000000100000"
881,"0000000100000"
882,"0000000100000"
883,"0000000100000"
884,"0000000100000"
885,"0000000100001"
886,"0000000100000"
887,"0000000100000"
889,"0000000110100"
890,"0000000100100"
891,"0000000100000"
892,"0000000100000"
893,"0000000110000"
896,"0000000110000"
897,"0000000100000"
898,"0000000100000"
899,"0000000110100"
901,"0000000100000"
902,"0000000100000"
903,"0000000100000"
905,"0000000100000"
907,"0000000100000"
908,"0000000100000"
910,"0000000100010"
911,"0000000100000"
912,"0000000100000"
